Market,Q3Y2017,Q2Y2018,Q4Y2017,Q3Y2018,Q4Y2018,QoQ,YoY
BLE,1752,1832,1683,1819,1778,-2.253985706,5.644682115
BLW,2249,2259,2179,2266,2244,-0.970873786,2.983019734
BOT,1675,1696,1625,1719,1672,-2.73414776,2.892307692
BUR,1311,1353,1330,1410,1467,4.042553191,10.30075188
DES,1218,1272,1218,1287,1285,-0.155400155,5.500821018
EDM,1410,1404,1376,1441,1384,-3.955586398,0.581395349
ENO,1767,1747,1725,1798,1774,-1.334816463,2.84057971
ESO,1971,2054,1955,2112,2071,-1.941287879,5.933503836
EVC,1259,1343,1304,1358,1357,-0.073637703,4.064417178
EVM,1390,1413,1340,1423,1413,-0.702740689,5.447761194
EVS,1376,1410,1343,1452,1431,-1.446280992,6.552494415
FED,1347,1376,1336,1384,1388,0.289017341,3.892215569
KEN,1400,1454,1400,1473,1461,-0.814663951,4.357142857
KIR,1948,1947,1898,1994,1935,-2.95887663,1.949420443
KNO,1443,1492,1449,1470,1467,-0.204081633,1.242236025
KSE,1325,1375,1316,1395,1379,-1.146953405,4.787234043
LYN,1524,1529,1476,1545,1549,0.258899676,4.945799458
MLT,1413,1463,1391,1441,1455,0.971547536,4.60100647
RED,1951,1964,1831,1974,1914,-3.039513678,4.533042054
REN,1574,1587,1533,1601,1594,-0.437226733,3.979125897
SBA,1992,1958,1866,1999,1964,-1.750875438,5.25187567
SBT,2193,2096,2051,2158,2084,-3.429101019,1.608971234
SCH,2001,2015,1972,2021,1993,-1.385452746,1.064908722
SCS,1709,1723,1676,1729,1761,1.850780798,5.071599045
SDN,2493,2466,2328,2465,2474,0.365111562,6.271477663
SFH,1952,1984,1806,2013,1956,-2.831594635,8.305647841
SFW,1981,1986,1908,2034,1970,-3.146509341,3.249475891
SIS,2095,2060,1939,2088,2003,-4.070881226,3.300670449
SLU,2263,2186,2124,2202,2137,-2.951861944,0.612052731
SNE,1312,1309,1323,1456,1501,3.090659341,13.4542706
SNO,1442,1484,1440,1506,1523,1.128818061,5.763888889
SQM,1906,1887,1850,1947,1920,-1.386748844,3.783783784
SSO,1653,1726,1595,1710,1686,-1.403508772,5.705329154
SSW,1583,1649,1610,1668,1673,0.299760192,3.913043478
STC,1209,1245,1212,1254,1275,1.674641148,5.198019802
SUD,1771,1736,1750,1762,1747,-0.851305335,-0.171428571
TUK,1281,1313,1286,1345,1346,0.074349442,4.66562986