Market,1Q2017,4Q2017,1Q2018,Quarterly,Yearly
SDN,2406,2328,2338,0.429553265,-2.826267664
BLW,2180,2179,2186,0.321248279,0.275229358
SLU,2128,2124,2128,0.188323917,0
SBT,2001,2051,2035,-0.780107265,1.699150425
SIS,1963,1939,1984,2.320783909,1.069791136
SCH,1909,1972,1974,0.101419878,3.404924044
ESO,1963,1955,1950,-0.255754476,-0.662251656
SFH,1645,1806,1911,5.813953488,16.17021277
SBA,1835,1866,1884,0.964630225,2.670299728
SQM,1787,1850,1875,1.351351351,4.924454393
SFW,1923,1908,1871,-1.939203354,-2.704108164
RED,1820,1831,1864,1.802293829,2.417582418
KIR,1851,1898,1863,-1.844046365,0.648298217
SUD,1711,1750,1774,1.371428571,3.682057276
BLE,1656,1683,1749,3.921568627,5.615942029
SCS,1623,1676,1682,0.357995227,3.635243376
SSO,1584,1595,1667,4.514106583,5.23989899
ENO,1716,1725,1652,-4.231884058,-3.72960373
BOT,1601,1625,1634,0.553846154,2.061211743
SSW,1522,1610,1630,1.242236025,7.095926413
REN,1486,1533,1533,0,3.162853297
LYN,1382,1476,1477,0.067750678,6.874095514
KNO,1390,1449,1455,0.414078675,4.676258993
MLT,1346,1391,1430,2.803738318,6.240713224
SNO,1401,1440,1429,-0.763888889,1.998572448
KEN,1320,1400,1426,1.857142857,8.03030303
EDM,1268,1376,1354,-1.598837209,6.782334385
EVS,1295,1343,1353,0.744601638,4.478764479
EVM,1301,1340,1345,0.373134328,3.382013836
BUR,1250,1330,1341,0.827067669,7.28
FED,1265,1336,1327,-0.673652695,4.901185771
KSE,1238,1316,1322,0.455927052,6.785137318
EVC,1214,1304,1313,0.690184049,8.154859967
SNE,1263,1323,1304,-1.436130008,3.246239113
TUK,1200,1286,1277,-0.699844479,6.416666667
STC,1162,1212,1233,1.732673267,6.110154905
DES,1171,1218,1217,-0.082101806,3.928266439